epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2404,1.25733,4.78243,1.56735,0,0,0,0,1.14476,5.28566,1.59025,3.57e-05,3.57e-05,3.57e-05
2,76.6405,1.02972,4.62384,1.41328,0,0,0,0,1.01107,5.25212,1.48381,7.23192e-05,7.23192e-05,7.23192e-05
3,129.454,0.96961,4.44474,1.40747,0.02508,0.09589,0.04808,0.04048,1.0257,5.2164,1.46452,0.00010743,0.00010743,0.00010743
4,179.432,0.91376,4.25407,1.37055,0.02211,0.36207,0.08839,0.06668,1.04825,5.07222,1.51907,0.000141034,0.000141034,0.000141034
5,223.74,0.91819,4.14658,1.3499,0.01987,0.56609,0.12839,0.09729,1.06734,4.89809,1.51693,0.000173129,0.000173129,0.000173129
6,253.819,0.91394,3.99975,1.35761,0.02506,0.59483,0.13597,0.10365,1.05688,4.86673,1.55085,0.000203716,0.000203716,0.000203716
7,293.926,0.92218,3.78188,1.35502,0.58248,0.25172,0.1258,0.09116,1.10265,4.68459,1.56687,0.000209726,0.000209726,0.000209726
8,328.473,0.91593,3.62356,1.34821,0.58936,0.21005,0.20328,0.13703,1.14397,4.57136,1.60848,0.000205013,0.000205013,0.000205013
9,354.382,0.98678,3.58053,1.38345,0.447,0.34501,0.20686,0.13781,1.12653,4.46966,1.60484,0.000200301,0.000200301,0.000200301
10,399.054,0.94132,3.33725,1.34459,0.52299,0.30576,0.23684,0.17151,1.1382,4.51916,1.67384,0.000195588,0.000195588,0.000195588
11,448.922,1.00387,3.22272,1.37435,0.48225,0.39518,0.24605,0.1848,1.15705,4.56139,1.73001,0.000190876,0.000190876,0.000190876
12,492.341,0.96799,3.15628,1.37269,0.53014,0.3396,0.27411,0.20923,1.04502,4.07485,1.55686,0.000186164,0.000186164,0.000186164
13,539.91,0.96799,3.21413,1.36127,0.55987,0.36163,0.27366,0.20307,1.07622,4.07602,1.62868,0.000181451,0.000181451,0.000181451
14,565.059,0.9473,2.97903,1.36036,0.40603,0.42658,0.2787,0.19444,1.15398,3.97984,1.69233,0.000176739,0.000176739,0.000176739
15,588.857,0.9633,3.07636,1.3634,0.60207,0.25254,0.28809,0.19518,1.14853,3.97621,1.7274,0.000172026,0.000172026,0.000172026
16,611.991,0.90223,2.86443,1.32225,0.29884,0.45172,0.2788,0.19525,1.10303,4.00079,1.66974,0.000167314,0.000167314,0.000167314
17,640.955,0.84435,2.7686,1.27158,0.33288,0.50904,0.31592,0.22379,1.07328,3.91635,1.59189,0.000162602,0.000162602,0.000162602
18,669.933,0.93993,2.76694,1.3544,0.33538,0.44839,0.33926,0.23289,1.11978,3.8913,1.63096,0.000157889,0.000157889,0.000157889
19,702.715,0.85058,2.7538,1.2676,0.32411,0.48168,0.3234,0.2387,1.1055,3.87199,1.58777,0.000153177,0.000153177,0.000153177
20,736.77,0.89558,2.67455,1.3175,0.41975,0.50272,0.35308,0.26712,1.07459,4.49468,1.56725,0.000148464,0.000148464,0.000148464
21,767.257,0.84482,2.58991,1.28594,0.302,0.54277,0.37846,0.26622,1.04628,4.38841,1.55034,0.000143752,0.000143752,0.000143752
22,798.419,0.88362,2.57205,1.29415,0.27596,0.61459,0.38036,0.28744,0.97776,4.13367,1.47632,0.00013904,0.00013904,0.00013904
23,829.328,0.90587,2.59772,1.31405,0.34008,0.49569,0.39002,0.29904,0.96365,4.188,1.48063,0.000134327,0.000134327,0.000134327
24,859.869,0.87947,2.61631,1.31455,0.57412,0.33204,0.39879,0.29543,1.01528,3.9858,1.55224,0.000129615,0.000129615,0.000129615
25,891.813,0.80042,2.51927,1.25684,0.28095,0.50017,0.4241,0.31751,1.02589,3.94158,1.57919,0.000124902,0.000124902,0.000124902
26,927.966,0.84098,2.43405,1.26909,0.31392,0.52454,0.41564,0.30631,1.02026,3.85464,1.54113,0.00012019,0.00012019,0.00012019
27,960.248,0.84857,2.45342,1.30236,0.57533,0.34975,0.40011,0.29467,0.9747,3.7912,1.4646,0.000115478,0.000115478,0.000115478
28,992.421,0.84164,2.34454,1.26411,0.44527,0.45607,0.41357,0.29891,0.99986,3.81197,1.48035,0.000110765,0.000110765,0.000110765
29,1024.53,0.85914,2.39191,1.2885,0.46569,0.58887,0.42452,0.30155,1.05238,3.75019,1.57116,0.000106053,0.000106053,0.000106053
30,1060.81,0.78312,2.33129,1.24657,0.42173,0.59917,0.41851,0.30232,1.00932,3.75646,1.58533,0.00010134,0.00010134,0.00010134
31,1094.08,0.76033,2.30573,1.20458,0.48379,0.53233,0.4254,0.31433,1.04863,3.74346,1.63723,9.6628e-05,9.6628e-05,9.6628e-05
32,1127.17,0.79616,2.2831,1.23816,0.50557,0.44708,0.41422,0.30443,1.07617,3.72209,1.64842,9.19156e-05,9.19156e-05,9.19156e-05
33,1165.45,0.8304,2.22525,1.25289,0.5964,0.4463,0.44232,0.32346,1.10007,3.70767,1.66849,8.72032e-05,8.72032e-05,8.72032e-05
34,1198.59,0.79196,2.28931,1.27468,0.59436,0.49968,0.45502,0.33113,1.05975,3.6847,1.62585,8.24908e-05,8.24908e-05,8.24908e-05
35,1229.55,0.76974,2.1235,1.23694,0.59715,0.39178,0.44233,0.33482,1.01445,3.7482,1.55091,7.77784e-05,7.77784e-05,7.77784e-05
36,1263.1,0.77316,2.16945,1.22123,0.60449,0.4128,0.46327,0.36161,1.03351,3.7396,1.56571,7.3066e-05,7.3066e-05,7.3066e-05
37,1297.01,0.74933,2.0521,1.18842,0.70568,0.34163,0.43406,0.33835,1.04086,3.78926,1.54571,6.83536e-05,6.83536e-05,6.83536e-05
38,1345.92,0.76739,2.10239,1.22217,0.39288,0.5351,0.44949,0.33131,0.98833,3.81894,1.4775,6.36412e-05,6.36412e-05,6.36412e-05
39,1379,0.75025,2.05416,1.20944,0.39248,0.55369,0.46595,0.35219,0.9994,3.69183,1.48989,5.89288e-05,5.89288e-05,5.89288e-05
40,1420.12,0.74856,2.15291,1.18965,0.52106,0.52347,0.47502,0.35597,0.99668,3.72359,1.50832,5.42164e-05,5.42164e-05,5.42164e-05
41,1485.14,0.64909,2.54319,1.20057,0.55232,0.44774,0.47253,0.35514,1.00589,3.69584,1.51921,4.9504e-05,4.9504e-05,4.9504e-05
42,1556.25,0.66854,2.53621,1.19132,0.59811,0.45596,0.52542,0.38383,1.02638,3.58485,1.55021,4.47916e-05,4.47916e-05,4.47916e-05
43,1597.4,0.64186,2.40394,1.17034,0.3349,0.57247,0.50023,0.36875,1.02534,3.50855,1.54848,4.00792e-05,4.00792e-05,4.00792e-05
44,1650.29,0.62955,2.44861,1.1544,0.43659,0.52266,0.50243,0.37314,1.01489,3.47261,1.52682,3.53668e-05,3.53668e-05,3.53668e-05
45,1706.43,0.62787,2.36983,1.13759,0.55509,0.45434,0.49744,0.37737,0.98721,3.49067,1.50658,3.06544e-05,3.06544e-05,3.06544e-05
46,1742.5,0.62094,2.3723,1.14729,0.56984,0.46609,0.50066,0.37564,0.99449,3.45852,1.51179,2.5942e-05,2.5942e-05,2.5942e-05
47,1770.1,0.6128,2.34769,1.17114,0.56975,0.46867,0.51072,0.38311,1.01212,3.48311,1.52751,2.12296e-05,2.12296e-05,2.12296e-05
48,1806.66,0.59755,2.35204,1.13275,0.47623,0.48777,0.51797,0.38559,0.99972,3.48628,1.51008,1.65172e-05,1.65172e-05,1.65172e-05
49,1844.65,0.61326,2.23897,1.15077,0.49505,0.56182,0.5222,0.38584,0.99226,3.50671,1.50082,1.18048e-05,1.18048e-05,1.18048e-05
50,1878.46,0.59898,2.32059,1.13488,0.47236,0.56463,0.51904,0.38003,0.9902,3.49474,1.50342,7.0924e-06,7.0924e-06,7.0924e-06
