epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.276,1.42335,3.16668,1.64274,0.50223,0.11097,0.01796,0.00557,2.52741,27.411,2.96019,0.0700704,0.00332551,0.00332551
2,514.269,1.43476,2.78446,1.61607,0.66902,0.05975,0.03768,0.02008,1.98113,3.90479,2.45984,0.0399386,0.006527,0.006527
3,682.518,1.34842,2.58768,1.5481,0.44454,0.12383,0.0719,0.0332,2.14331,4.74599,2.44037,0.00967473,0.00959649,0.00959649
4,871.199,1.26748,2.43394,1.49142,0.40202,0.33018,0.15692,0.10479,1.3635,2.52107,1.79907,0.009406,0.009406,0.009406
5,1043.14,1.23105,2.31406,1.45675,0.45327,0.2089,0.08576,0.0501,2.50688,5.53237,3.53256,0.009208,0.009208,0.009208
6,1235.25,1.18377,2.23644,1.42084,0.43021,0.40079,0.21215,0.1366,1.16338,2.31483,1.52702,0.00901,0.00901,0.00901
7,1407.51,1.16308,2.17861,1.40839,0.40423,0.42945,0.23737,0.16404,1.12393,2.13802,1.5095,0.008812,0.008812,0.008812
8,1597.36,1.14199,2.12996,1.38557,0.53932,0.37671,0.24264,0.16194,1.14506,2.23529,1.53371,0.008614,0.008614,0.008614
9,1763.15,1.12988,2.08472,1.36835,0.3892,0.54976,0.30306,0.20011,1.08339,1.84025,1.43177,0.008416,0.008416,0.008416
10,1926.87,1.10687,2.07501,1.36072,0.27496,0.54877,0.27836,0.18805,1.07907,1.82584,1.43378,0.008218,0.008218,0.008218
11,2090.78,1.07668,2.00238,1.34155,0.51196,0.39239,0.28407,0.18772,1.14299,2.00342,1.53473,0.00802,0.00802,0.00802
12,2255.07,1.0842,1.97097,1.33622,0.25406,0.55456,0.28236,0.19438,1.03521,1.79708,1.35456,0.007822,0.007822,0.007822
13,2420.04,1.04991,1.92778,1.32177,0.37397,0.5178,0.34351,0.23328,1.02143,1.67697,1.37089,0.007624,0.007624,0.007624
14,2583.9,1.02979,1.93109,1.312,0.35357,0.55007,0.34292,0.23704,0.97412,1.66777,1.31654,0.007426,0.007426,0.007426
15,2750.44,1.04956,1.9019,1.32595,0.38515,0.52707,0.33621,0.22425,1.08647,1.74672,1.40914,0.007228,0.007228,0.007228
16,2914.24,1.01192,1.84433,1.28546,0.36034,0.5657,0.34095,0.23574,1.0134,1.68434,1.35808,0.00703,0.00703,0.00703
17,3080.45,1.0241,1.84197,1.3007,0.29996,0.60175,0.31226,0.21636,1.00761,1.65384,1.38252,0.006832,0.006832,0.006832
18,3244.24,1.00205,1.82314,1.28905,0.35996,0.62515,0.3545,0.25039,0.98941,1.67175,1.34154,0.006634,0.006634,0.006634
19,3408.78,1.00921,1.78259,1.29172,0.38618,0.55483,0.32708,0.2314,1.01722,1.60036,1.35118,0.006436,0.006436,0.006436
20,3594.95,0.99209,1.79352,1.27319,0.37294,0.57571,0.3795,0.26572,0.98665,1.60066,1.30903,0.006238,0.006238,0.006238
21,3761.51,0.96976,1.72829,1.26086,0.34199,0.57461,0.39409,0.27988,0.98464,1.53266,1.31294,0.00604,0.00604,0.00604
22,3925.98,0.97885,1.72723,1.26947,0.36048,0.60252,0.39142,0.27131,0.95872,1.61897,1.29647,0.005842,0.005842,0.005842
23,4092.27,0.96319,1.70603,1.25993,0.34257,0.65576,0.39949,0.28111,0.94369,1.50589,1.28624,0.005644,0.005644,0.005644
24,4278.5,0.96671,1.71348,1.26551,0.3278,0.61827,0.41697,0.28758,0.95785,1.50729,1.28947,0.005446,0.005446,0.005446
25,4445.03,0.95754,1.69188,1.25004,0.38664,0.62038,0.40546,0.28305,0.98347,1.46818,1.29302,0.005248,0.005248,0.005248
26,4631.23,0.94077,1.66423,1.24198,0.33017,0.64625,0.41601,0.29568,0.93741,1.48123,1.27589,0.00505,0.00505,0.00505
27,4798.15,0.95691,1.67378,1.25201,0.35671,0.69096,0.47036,0.32217,0.97041,1.45012,1.29167,0.004852,0.004852,0.004852
28,4983.9,0.93831,1.6282,1.24466,0.39646,0.66268,0.4491,0.31083,0.96116,1.45018,1.2934,0.004654,0.004654,0.004654
29,5149.94,0.92996,1.62396,1.23672,0.4504,0.62071,0.46258,0.32429,0.9239,1.43333,1.28719,0.004456,0.004456,0.004456
30,5336.08,0.91812,1.62575,1.23104,0.38525,0.67068,0.4912,0.34384,0.92447,1.39721,1.25706,0.004258,0.004258,0.004258
31,5502.2,0.9183,1.59108,1.22676,0.33159,0.66214,0.47344,0.33711,0.91834,1.39911,1.25008,0.00406,0.00406,0.00406
32,5688.19,0.90388,1.56945,1.22375,0.38434,0.69759,0.48586,0.34524,0.92864,1.33192,1.27242,0.003862,0.003862,0.003862
33,5854.89,0.91567,1.55973,1.22873,0.43863,0.6717,0.50483,0.35157,0.90054,1.34374,1.23701,0.003664,0.003664,0.003664
34,6040.89,0.90346,1.5242,1.21515,0.406,0.68581,0.50104,0.35369,0.88973,1.31676,1.21615,0.003466,0.003466,0.003466
35,6207.44,0.89448,1.53774,1.21388,0.41921,0.70906,0.51955,0.37106,0.91224,1.30044,1.24381,0.003268,0.003268,0.003268
36,6393.15,0.89458,1.50928,1.20817,0.43007,0.6631,0.54853,0.386,0.89633,1.27016,1.25581,0.00307,0.00307,0.00307
37,6559.61,0.88854,1.5025,1.20904,0.39196,0.68165,0.53132,0.37708,0.91832,1.27824,1.24342,0.002872,0.002872,0.002872
38,6745.11,0.86801,1.48514,1.18664,0.4225,0.71281,0.53466,0.38062,0.92075,1.26021,1.25241,0.002674,0.002674,0.002674
39,6911.3,0.88063,1.46869,1.19968,0.42119,0.73131,0.55643,0.39539,0.8812,1.26436,1.22914,0.002476,0.002476,0.002476
40,7098.45,0.8538,1.43396,1.18886,0.43767,0.72482,0.58303,0.41491,0.88059,1.20759,1.2064,0.002278,0.002278,0.002278
41,7286.62,0.78734,1.24809,1.1863,0.43919,0.71859,0.58042,0.41509,0.86753,1.20042,1.20127,0.00208,0.00208,0.00208
42,7472.16,0.77895,1.22965,1.18306,0.44954,0.72387,0.58903,0.42255,0.85661,1.17023,1.1978,0.001882,0.001882,0.001882
43,7637.49,0.75927,1.18429,1.15774,0.48584,0.75132,0.6065,0.44006,0.85377,1.18201,1.18999,0.001684,0.001684,0.001684
44,7826.72,0.74465,1.14036,1.15545,0.49497,0.73719,0.63863,0.45666,0.84586,1.12844,1.18777,0.001486,0.001486,0.001486
45,7993.05,0.73597,1.12079,1.14252,0.52932,0.7282,0.64237,0.47113,0.83266,1.1077,1.17404,0.001288,0.001288,0.001288
46,8178.61,0.72671,1.08677,1.13843,0.52692,0.75296,0.65532,0.48088,0.83444,1.08876,1.16868,0.00109,0.00109,0.00109
47,8346.69,0.71109,1.06909,1.12413,0.53925,0.7154,0.65566,0.47737,0.8331,1.08148,1.17484,0.000892,0.000892,0.000892
48,8532.27,0.7022,1.0271,1.12365,0.51954,0.7854,0.67116,0.49399,0.8268,1.06145,1.16534,0.000694,0.000694,0.000694
49,8699.88,0.68747,1.01451,1.10936,0.55759,0.75483,0.68062,0.50396,0.81968,1.04016,1.15982,0.000496,0.000496,0.000496
50,8889.17,0.68513,0.9874,1.09939,0.55173,0.77343,0.68884,0.50488,0.81609,1.04164,1.15682,0.000298,0.000298,0.000298
